away_team,away_score,home_team,home_score,id
CHI,17,SEA,24,231019026
KC,17,OAK,10,231020013
DET,16,CHI,24,231026003
SEA,24,CIN,27,231026004
NYG,29,MIN,17,231026016
CLE,3,NE,9,231026017
CAR,23,NO,20,231026018
STL,33,PIT,21,231026023
DAL,0,TB,16,231026027
TEN,30,JAX,17,231026030
DEN,6,BAL,26,231026033
SF,13,ARI,16,231026022
HOU,21,IND,30,231026011
NYJ,17,PHI,24,231026021
BUF,5,KC,38,231026012
MIA,26,SD,10,231027024
SD,7,CHI,20,231102003
OAK,13,DET,23,231102008
IND,23,MIA,17,231102015
NYG,31,NYJ,28,231102020
NO,17,TB,14,231102027
JAX,17,BAL,24,231102033
CAR,10,HOU,14,231102034
CIN,14,ARI,17,231102022
PIT,16,SEA,23,231102026
PHI,23,ATL,16,231102001
WSH,14,DAL,21,231102006
STL,10,SF,30,231102025
GB,30,MIN,27,231102016
NE,30,DEN,26,231103007
HOU,27,CIN,34,231109004
CHI,10,DET,12,231109008
MIA,7,TEN,31,231109010
CLE,20,KC,41,231109012
ATL,27,NYG,7,231109019
ARI,15,PIT,28,231109023
SEA,20,WSH,27,231109028
TB,24,CAR,27,231109029
IND,23,JAX,28,231109030
MIN,28,SD,42,231109024
BUF,6,DAL,10,231109006
NYJ,27,OAK,24,231109013
BAL,22,STL,33,231109014
PHI,17,GB,14,231110009
HOU,12,BUF,10,231116002
STL,23,CHI,21,231116003
KC,19,CIN,24,231116004
ARI,6,CLE,44,231116005
JAX,3,TEN,10,231116010
BAL,6,MIA,9,231116015
ATL,20,NO,23,231116018
NYG,10,PHI,28,231116021
WSH,17,CAR,20,231116029
SD,8,DEN,37,231116007
NYJ,31,IND,38,231116011
MIN,18,OAK,28,231116013
DET,14,SEA,35,231116026
GB,20,TB,13,231116027
DAL,0,NE,12,231116017
PIT,14,SF,30,231117025
IND,17,BUF,14,231123002
PIT,13,CLE,6,231123005
CAR,20,DAL,24,231123006
SF,10,GB,20,231123009
DET,14,MIN,24,231123016
JAX,10,NYJ,13,231123020
NO,20,PHI,33,231123021
