,away_team,away_score,home_team,home_score,id
325,SD,21,JAX,27,231005030
326,WSH,25,PHI,27,231005021
327,DET,17,SF,24,231005025
328,CLE,33,PIT,13,231005023
329,IND,38,TB,35,231006027
330,OAK,7,CLE,13,231012005
331,PHI,21,DAL,23,231012006
332,KC,40,GB,34,231012009
333,HOU,17,TEN,38,231012010
334,CAR,23,IND,20,231012011
335,NYG,6,NE,17,231012017
336,CHI,13,NO,20,231012018
337,TB,35,WSH,13,231012028
338,MIA,24,JAX,10,231012030
339,PIT,14,DEN,17,231012007
340,BUF,3,NYJ,30,231012020
341,BAL,26,ARI,18,231012022
342,SF,19,SEA,20,231012026
343,ATL,0,STL,36,231013014
344,NO,45,ATL,17,231019001
345,BAL,26,CIN,34,231019004
346,SD,26,CLE,20,231019005
347,DAL,38,DET,7,231019008
348,GB,24,STL,34,231019014
349,1st Downs,20,Passing 1st downs,14,231019015
350,DEN,20,MIN,28,231019016
351,PHI,14,NYG,10,231019019
352,TEN,37,CAR,17,231019029
353,NYJ,19,HOU,14,231019034
354,WSH,7,BUF,24,231019002
355,TB,7,SF,24,231019025
356,CHI,17,SEA,24,231019026
357,KC,17,OAK,10,231020013
358,DET,16,CHI,24,231026003
359,SEA,24,CIN,27,231026004
360,NYG,29,MIN,17,231026016
361,CLE,3,NE,9,231026017
362,CAR,23,NO,20,231026018
363,STL,33,PIT,21,231026023
364,DAL,0,TB,16,231026027
365,TEN,30,JAX,17,231026030
366,DEN,6,BAL,26,231026033
367,SF,13,ARI,16,231026022
368,HOU,21,IND,30,231026011
369,NYJ,17,PHI,24,231026021
370,BUF,5,KC,38,231026012
371,MIA,26,SD,10,231027024
372,SD,7,CHI,20,231102003
373,OAK,13,DET,23,231102008
374,IND,23,MIA,17,231102015
375,NYG,31,NYJ,28,231102020
376,NO,17,TB,14,231102027
377,JAX,17,BAL,24,231102033
378,CAR,10,HOU,14,231102034
379,CIN,14,ARI,17,231102022
380,PIT,16,SEA,23,231102026
381,PHI,23,ATL,16,231102001
382,WSH,14,DAL,21,231102006
383,STL,10,SF,30,231102025
384,GB,30,MIN,27,231102016
385,NE,30,DEN,26,231103007
386,HOU,27,CIN,34,231109004
387,CHI,10,DET,12,231109008
388,MIA,7,TEN,31,231109010
389,CLE,20,KC,41,231109012
390,ATL,27,NYG,7,231109019
391,ARI,15,PIT,28,231109023
392,SEA,20,WSH,27,231109028
393,TB,24,CAR,27,231109029
394,IND,23,JAX,28,231109030
395,MIN,28,SD,42,231109024
396,BUF,6,DAL,10,231109006
397,NYJ,27,OAK,24,231109013
398,BAL,22,STL,33,231109014
399,PHI,17,GB,14,231110009
400,HOU,12,BUF,10,231116002
401,STL,23,CHI,21,231116003
402,KC,19,CIN,24,231116004
403,ARI,6,CLE,44,231116005
404,JAX,3,TEN,10,231116010
405,BAL,6,MIA,9,231116015
406,ATL,20,NO,23,231116018
407,NYG,10,PHI,28,231116021
408,WSH,17,CAR,20,231116029
409,SD,8,DEN,37,231116007
410,NYJ,31,IND,38,231116011
411,MIN,18,OAK,28,231116013
412,DET,14,SEA,35,231116026
413,GB,20,TB,13,231116027
414,DAL,0,NE,12,231116017
415,PIT,14,SF,30,231117025
416,IND,17,BUF,14,231123002
417,PIT,13,CLE,6,231123005
418,CAR,20,DAL,24,231123006
419,SF,10,GB,20,231123009
420,DET,14,MIN,24,231123016
421,JAX,10,NYJ,13,231123020
422,NO,20,PHI,33,231123021
423,SEA,41,BAL,44,231123033
424,NE,23,HOU,20,231123034
425,CHI,19,DEN,10,231123007
426,STL,30,ARI,27,231123022
427,TEN,38,ATL,31,231123001
428,OAK,24,KC,27,231123012
429,CIN,34,SD,27,231123024
430,WSH,23,MIA,24,231123015
431,NYG,13,TB,19,231124027
432,GB,14,DET,22,231127008
433,MIA,40,DAL,21,231127006
434,ARI,3,CHI,28,231130003
435,NE,38,IND,34,231130011
436,MIN,17,STL,48,231130014
437,BUF,24,NYG,7,231130019
438,CIN,24,PIT,20,231130023
439,PHI,25,CAR,16,231130029
440,SF,6,BAL,44,231130033
441,ATL,13,HOU,17,231130034
442,NO,24,WSH,20,231130028
443,DEN,22,OAK,8,231130013
444,KC,28,SD,24,231130024
445,CLE,7,SEA,34,231130026
446,TB,10,JAX,17,231130030
447,TEN,17,NYJ,24,231201020
448,SD,14,DET,7,231207008
449,CHI,21,GB,34,231207009
450,IND,29,TEN,27,231207010
451,SEA,7,MIN,34,231207016
452,TB,14,NO,7,231207018
453,WSH,20,NYG,7,231207019
454,DAL,10,PHI,36,231207021
455,OAK,7,PIT,27,231207023
456,HOU,0,JAX,27,231207030
457,CIN,13,BAL,31,231207033
458,ARI,14,SF,50,231207025
459,NYJ,6,BUF,17,231207002
460,KC,27,DEN,45,231207007
461,MIA,0,NE,12,231207017
462,CAR,14,ATL,20,231207001
463,STL,26,CLE,20,231208005
464,MIN,10,CHI,13,231214003
465,SF,38,CIN,41,231214004
466,BUF,26,TEN,28,231214010
467,ATL,7,IND,38,231214011
468,DET,17,KC,45,231214012
469,SEA,22,STL,27,231214014
470,JAX,13,NE,27,231214017
471,PIT,0,NYJ,6,231214020
472,HOU,3,TB,16,231214027
473,CLE,20,DEN,23,231214007
474,BAL,12,OAK,20,231214013
475,CAR,20,ARI,17,231214022
476,GB,38,SD,21,231214024
477,DAL,27,WSH,0,231214028
478,NYG,7,NO,45,231214018
479,PHI,34,MIA,27,231215015
480,ATL,30,TB,28,231220027
481,KC,20,MIN,45,231220016
482,NE,21,NYJ,16,231220020
483,MIA,20,BUF,3,231221002
484,WSH,24,CHI,27,231221003
485,BAL,35,CLE,0,231221005
486,NYG,3,DAL,19,231221006
487,CIN,10,STL,27,231221014
488,DET,14,CAR,20,231221029
489,NO,19,JAX,20,231221030
490,TEN,27,HOU,24,231221034
491,SD,24,PIT,40,231221023
492,SF,31,PHI,28,231221021
493,ARI,10,SEA,28,231221026
494,DEN,31,IND,17,231221011
