,away_team,away_score,home_team,home_score,id
0,BAL,27,NO,13,401437831
0,ATL,15,CAR,25,401437832
0,SEA,16,TB,21,401435638
0,MIN,33,BUF,30,401437833
0,DET,31,CHI,30,401437834
0,DEN,10,TEN,17,401437839
0,CLE,17,MIA,39,401437836
0,HOU,16,NYG,24,401437837
0,NO,10,PIT,20,401437838
0,IND,25,LV,20,401437840
0,DAL,28,GB,31,401437131
0,ARI,27,LAR,17,401437841
0,LAC,16,SF,22,401437842
0,WSH,32,PHI,21,401437843
0,TEN,27,GB,17,401437844
0,CHI,24,ATL,27,401437845
0,CLE,23,BUF,31,401437847
0,PHI,17,IND,16,401437849
0,NYJ,3,NE,10,401437850
0,LAR,20,NO,27,401437851
0,DET,31,NYG,18,401437852
0,CAR,3,BAL,13,401437846
0,WSH,23,HOU,10,401437848
0,LV,22,DEN,16,401437853
0,DAL,40,MIN,3,401437855
0,CIN,37,PIT,30,401437856
0,KC,30,LAC,27,401437854
0,SF,38,ARI,10,401435642
0,BUF,28,DET,25,401437857
0,NYG,20,DAL,28,401437858
0,NE,26,MIN,33,401437859
0,TB,17,CLE,23,401437861
0,CIN,20,TEN,16,401437865
0,HOU,15,MIA,30,401437863
0,CHI,10,NYJ,31,401437864
0,ATL,13,WSH,19,401437866
0,DEN,10,CAR,23,401437860
0,BAL,27,JAX,28,401437862
0,LAC,25,ARI,24,401437867
0,LV,40,SEA,34,401437868
0,LAR,10,KC,26,401437869
0,NO,0,SF,13,401437870
0,GB,33,PHI,40,401437871
0,PIT,24,IND,17,401437872
0,BUF,24,NE,10,401437873
0,PIT,19,ATL,16,401437874
0,GB,28,CHI,19,401437876
0,JAX,14,DET,40,401437877
0,NYJ,22,MIN,27,401437879
0,WSH,20,NYG,20,401437880
0,TEN,10,PHI,35,401437881
0,DEN,9,BAL,10,401437875
0,CLE,27,HOU,14,401437878
0,SEA,27,LAR,23,401437882
0,MIA,17,SF,33,401437883
0,KC,24,CIN,27,401437884
0,LAC,20,LV,27,401437885
0,IND,19,DAL,54,401437886
0,NO,16,TB,17,401437887
0,LV,16,LAR,17,401437888
0,NYJ,12,BUF,20,401437889
0,CLE,10,CIN,23,401437890
0,HOU,23,DAL,27,401437891
0,MIN,23,DET,34,401437892
0,JAX,36,TEN,22,401437895
0,PHI,48,NYG,22,401437893
0,BAL,16,PIT,14,401437894
0,KC,34,DEN,28,401437899
0,TB,7,SF,35,401437897
0,CAR,30,SEA,24,401437898
0,MIA,17,LAC,23,401437896
0,NE,27,ARI,13,401437900
0,SF,21,SEA,13,401437901
0,IND,36,MIN,39,401437904
0,BAL,3,CLE,13,401437903
0,MIA,29,BUF,32,401437902
0,PHI,25,CHI,20,401437908
0,ATL,18,NO,21,401437905
0,DET,20,NYJ,17,401437911
0,PIT,24,CAR,16,401437907
0,DAL,34,JAX,40,401437910
0,KC,30,HOU,24,401437909
0,ARI,15,DEN,24,401437912
0,NE,24,LV,30,401437915
0,TEN,14,LAC,17,401437913
0,CIN,34,TB,23,401437914
0,NYG,20,WSH,12,401437906
0,LAR,12,GB,24,401437916
0,JAX,19,NYJ,3,401437917
0,BUF,35,CHI,13,401437920
0,NO,17,CLE,10,401437921
0,SEA,10,KC,24,401437922
0,NYG,24,MIN,27,401437923
0,CIN,22,NE,18,401437924
0,DET,23,CAR,37,401437919
0,ATL,9,BAL,17,401437918
0,HOU,19,TEN,14,401437925
0,WSH,20,SF,37,401437926
0,PHI,34,DAL,40,401437927
0,LV,10,PIT,13,401437928
0,GB,26,MIA,20,401437929
0,DEN,14,LAR,51,401436983
0,TB,19,ARI,16,401437930
0,LAC,20,IND,3,401437931
0,JAX,17,KC,27,401437835
